class_idx,glyph,train_freq,test_support,trf_f1,d4_f1,res_f1,delta,delta_vs_d4,present_in_test
0,A1,0,0,0.0,0.0,0.0,0.0,0.0,False
1,A17,0,0,0.0,0.0,0.0,0.0,0.0,False
2,A19,0,0,0.0,0.0,0.0,0.0,0.0,False
3,A2,0,0,0.0,0.0,0.0,0.0,0.0,False
4,A24,0,0,0.0,0.0,0.0,0.0,0.0,False
5,A30,0,0,0.0,0.0,0.0,0.0,0.0,False
6,A40,0,0,0.0,0.0,0.0,0.0,0.0,False
7,A42,0,0,0.0,0.0,0.0,0.0,0.0,False
8,A50,0,0,0.0,0.0,0.0,0.0,0.0,False
9,AA13,0,0,0.0,0.0,0.0,0.0,0.0,False
10,AA15,1,1,0.0,0.0,0.0,0.0,0.0,True
11,B1,0,0,0.0,0.0,0.0,0.0,0.0,False
12,D1,3,1,0.0,0.0,0.0,0.0,0.0,True
13,D2,14,1,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,True
14,D21,123,23,0.6923076923076923,0.6428571428571429,0.3448275862068966,0.3474801061007957,0.049450549450549386,True
15,D28,11,3,0.5,1.0,0.75,-0.25,-0.5,True
16,D35,33,9,0.875,0.875,0.875,0.0,0.0,True
17,D36,34,12,0.6956521739130435,0.5454545454545454,0.2857142857142857,0.40993788819875776,0.15019762845849804,True
18,D37,0,0,0.0,0.0,0.0,0.0,0.0,False
19,D39,1,0,0.0,0.0,0.0,0.0,0.0,False
20,D4,26,4,0.0,0.0,0.0,0.0,0.0,True
21,D40,0,0,0.0,0.0,0.0,0.0,0.0,False
22,D45,0,0,0.0,0.0,0.0,0.0,0.0,False
23,D46,33,9,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,True
24,D52,3,1,0.0,0.0,1.0,-1.0,0.0,True
25,D54,8,1,0.6666666666666666,1.0,0.6666666666666666,0.0,-0.33333333333333337,True
26,D55,0,0,0.0,0.0,0.0,0.0,0.0,False
27,D56,2,0,0.0,0.0,0.0,0.0,0.0,False
28,D58,25,4,0.0,0.0,0.14285714285714285,-0.14285714285714285,0.0,True
29,D60,4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,True
30,E1,2,0,0.0,0.0,0.0,0.0,0.0,False
31,E10,0,0,0.0,0.0,0.0,0.0,0.0,False
32,E16,0,0,0.0,0.0,0.0,0.0,0.0,False
33,E23,5,0,0.0,0.0,0.0,0.0,0.0,False
34,E34,76,15,0.8387096774193549,0.8,0.72,0.1187096774193549,0.03870967741935483,True
35,E7,0,0,0.0,0.0,0.0,0.0,0.0,False
36,E9,5,1,0.0,0.0,1.0,-1.0,0.0,True
37,F1,0,0,0.0,0.0,0.0,0.0,0.0,False
38,F12,1,0,0.0,0.0,0.0,0.0,0.0,False
39,F13,6,1,0.6666666666666666,1.0,0.6666666666666666,0.0,-0.33333333333333337,True
40,F18,3,1,1.0,1.0,0.25,0.75,0.0,True
41,F21,1,0,0.0,0.0,0.0,0.0,0.0,False
42,F26,2,1,0.0,0.0,1.0,-1.0,0.0,True
43,F31,2,1,0.0,0.0,0.0,0.0,0.0,True
44,F32,1,0,0.0,0.0,0.0,0.0,0.0,False
45,F34,6,1,1.0,1.0,0.6666666666666666,0.33333333333333337,0.0,True
46,F35,1,1,0.0,0.0,0.0,0.0,0.0,True
47,F39,0,0,0.0,0.0,0.0,0.0,0.0,False
48,F4,2,1,0.0,0.0,1.0,-1.0,0.0,True
49,G1,19,3,0.5714285714285714,0.6666666666666666,0.6,-0.02857142857142858,-0.09523809523809523,True
50,G14,1,0,0.0,0.0,0.0,0.0,0.0,False
51,G17,125,27,0.7547169811320755,0.7368421052631579,0.7111111111111111,0.04360587002096439,0.017874875868917672,True
52,G25,18,5,1.0,1.0,1.0,0.0,0.0,True
53,G35,27,6,0.8,0.7272727272727273,0.9090909090909091,-0.10909090909090902,0.07272727272727275,True
54,G36,7,2,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,True
55,G37,3,0,0.0,0.0,0.0,0.0,0.0,False
56,G38,0,0,0.0,0.0,0.0,0.0,0.0,False
57,G39,13,3,1.0,1.0,1.0,0.0,0.0,True
58,G4,6,1,1.0,0.0,0.6666666666666666,0.33333333333333337,1.0,True
59,G40,5,0,0.0,0.0,0.0,0.0,0.0,False
60,G43,135,20,0.7391304347826086,0.7391304347826086,0.7428571428571429,-0.003726708074534235,0.0,True
61,G5,20,4,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.19047619047619047,0.2857142857142857,True
62,H1,0,0,0.0,0.0,0.0,0.0,0.0,False
63,H6,3,2,0.0,0.0,0.0,0.0,0.0,True
64,H8,0,0,0.0,0.0,0.0,0.0,0.0,False
